index,timestamp,age,industry,job title,job_title_context,salary,compensation,currency,other_currency,income_context,country,state,city,professional_experience_overall,professional_experience_in_specified_field,education,gender,race,total_salary,amount_usd
3,4/27/2021 11:02:41,29.5,nonprofits,program manager,,62000,3000.0,USD,,,united states,wisconsin,milwaukee,9.0,6.0,College degree,Woman,White,65000.0,65000.0
4,4/27/2021 11:02:42,29.5,"accounting, banking & finance",accounting manager,,60000,7000.0,USD,,,united states,south carolina,greenville,9.0,6.0,College degree,Woman,White,67000.0,67000.0
7,4/27/2021 11:03:00,29.5,education (primary/secondary),librarian,"High school, FT",50000,0.0,USD,,,united states,arizona,yuma,6.0,6.0,Master's degree,Man,White,50000.0,50000.0
9,4/27/2021 11:03:02,39.5,"accounting, banking & finance",senior accountant,,45000,0.0,USD,,I work for a Charter School,united states,florida,palm coast,25.5,25.5,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",45000.0,45000.0
10,4/27/2021 11:03:03,29.5,nonprofits,office manager,,47500,0.0,USD,,,united states,massachusetts,boston ,6.0,6.0,College degree,Woman,White,47500.0,47500.0
16,4/27/2021 11:03:13,39.5,business or consulting,executive assistant,,85000,5000.0,USD,,,united states,illinois,chicago,9.0,9.0,Some college,Woman,White,90000.0,90000.0
17,4/27/2021 11:03:19,49.5,art & design,graphic designer,,59000,0.0,USD,,,united states,california,pomona,25.5,25.5,College degree,Woman,White,59000.0,59000.0
18,4/27/2021 11:03:21,39.5,business or consulting,senior manager,,98000,1000.0,USD,,,united states,georgia,atlanta,15.5,3.0,Master's degree,Woman,White,99000.0,99000.0
25,4/27/2021 11:03:34,39.5,education (higher education),communications specialist,,60000,0.0,USD,,,united states,michigan,ann arbor,15.5,1.0,Master's degree,Woman,White,60000.0,60000.0
26,4/27/2021 11:03:38,29.5,nonprofits,program director,I manage staff members who each manage 8-15 other people. ,62000,0.0,USD,,,united states,district of columbia,washington ,6.0,3.0,College degree,Man,White,62000.0,62000.0
31,4/27/2021 11:03:44,39.5,media & digital,editor,,125000,0.0,USD,,,united states,district of columbia,washington ,15.5,9.0,Master's degree,Woman,White,125000.0,125000.0
33,4/27/2021 11:03:46,39.5,"accounting, banking & finance",accounting manager,,110000,15000.0,USD,,,united states,virginia,richmond,25.5,15.5,College degree,Woman,White,125000.0,125000.0
43,4/27/2021 11:04:04,29.5,computing or tech,principal software engineer,,187500,5000.0,USD,,,united states,pennsylvania,pittsburgh,9.0,6.0,College degree,Woman,White,192500.0,192500.0
45,4/27/2021 11:04:04,29.5,nonprofits,project manager,,66625,1500.0,USD,,,united states,massachusetts,boston,9.0,9.0,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",68125.0,68125.0
54,4/27/2021 11:04:22,39.5,media & digital,editor,,52000,0.0,CAD,,,canada,ontario,toronto,15.5,15.5,College degree,Woman,Asian or Asian American,52000.0,38480.0
60,4/27/2021 11:04:28,29.5,education (higher education),coordinator,,52000,0.0,USD,,,united states,illinois,champaign,9.0,9.0,College degree,Woman,White,52000.0,52000.0
73,4/27/2021 11:04:41,29.5,engineering or manufacturing,marketing coordinator,,45000,0.0,USD,,,united states,south carolina,columbia,6.0,6.0,Some college,Woman,White,45000.0,45000.0
76,4/27/2021 11:04:43,49.5,education (higher education),program manager,,71000,0.0,USD,,,united states,illinois,champaign,15.5,15.5,PhD,Woman,White,71000.0,71000.0
89,4/27/2021 11:05:04,49.5,computing or tech,director of engineering,,115000,0.0,CAD,,,canada,ontario,ottawa,25.5,25.5,Master's degree,Man,White,115000.0,85100.0
92,4/27/2021 11:05:07,29.5,"accounting, banking & finance",accounting manager,,90000,0.0,USD,,,united states,tennessee,nashville,6.0,6.0,Master's degree,Woman,White,90000.0,90000.0
105,4/27/2021 11:05:17,39.5,property or construction,senior project manager,,196000,10000.0,USD,,,united states,new york,new york city,15.5,15.5,College degree,Man,White,206000.0,206000.0
108,4/27/2021 11:05:17,29.5,hospitality & events,graphic designer,Solo in-house graphic designer & illustrator,75000,0.0,USD,,,united states,new york,new york city,6.0,6.0,College degree,Woman,White,75000.0,75000.0
110,4/27/2021 11:05:21,29.5,computing or tech,senior financial analyst,,107220,16083.0,USD,,,united states,texas,austin,9.0,6.0,Master's degree,Woman,Asian or Asian American,123303.0,123303.0
112,4/27/2021 11:05:23,49.5,education (higher education),professor,,95000,10000.0,USD,,"I am, like most professors, a ""9 month"" employee, which means that our contract year has three months ""off"" - which is when we have to do most of our research.",united states,michigan,detroit,25.5,15.5,PhD,Man,White,105000.0,105000.0
113,4/27/2021 11:05:23,49.5,sales,office manager,,42000,0.0,USD,,,united states,virginia,portsmouth,25.5,15.5,Master's degree,Woman,White,42000.0,42000.0
115,4/27/2021 11:05:25,29.5,computing or tech,software engineer,,50000,0.0,GBP,,,united kingdom,,nottingham,6.0,3.0,High School,Man,White,50000.0,63000.0
118,4/27/2021 11:05:27,39.5,transport or logistics,program manager,,60000,3000.0,EUR,,, nerlands,,the hague,15.5,15.5,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",63000.0,70560.0
125,4/27/2021 11:05:36,39.5,nonprofits,archivist,,54000,100.0,USD,,,united states,iowa,dubuque,25.5,9.0,Master's degree,Woman,White,54100.0,54100.0
126,4/27/2021 11:05:37,39.5,education (higher education),assistant professor,,92000,0.0,CAD,,,canada,ontario,london on can,6.0,6.0,PhD,Woman,White,92000.0,68080.0
133,4/27/2021 11:05:46,39.5,computing or tech,product manager,,130000,0.0,USD,,,united states,pennsylvania,philadelphia,15.5,15.5,College degree,Man,White,130000.0,130000.0
135,4/27/2021 11:05:47,29.5,government and public administration,project coordinator,,59015,0.0,USD,,,united states,new jersey,whippany,9.0,9.0,College degree,Woman,White,59015.0,59015.0
137,4/27/2021 11:05:49,49.5,social work,director,,53000,0.0,USD,,,united states,georgia,jefferson,25.5,9.0,Master's degree,Woman,White,53000.0,53000.0
144,4/27/2021 11:05:52,39.5,education (higher education),associate director,,85000,0.0,USD,,,united states,illinois,chicago,15.5,15.5,College degree,Woman,White,85000.0,85000.0
145,4/27/2021 11:05:52,39.5,education (higher education),editor,,62000,0.0,USD,,,united states,texas,dallas,15.5,15.5,College degree,Woman,White,62000.0,62000.0
146,4/27/2021 11:05:53,29.5,law,staff attorney,"Roughly equivalent to an Associate Attorney, but not on the partnership track.",74000,0.0,USD,,,united states,michigan,grand rapids,9.0,3.0,Master's degree,Non-binary,White,74000.0,74000.0
157,4/27/2021 11:06:02,29.5,publishing,editor,,27000,0.0,GBP,,,england,,oxford,15.5,6.0,College degree,Woman,White,27000.0,34020.0
159,4/27/2021 11:06:04,49.5,stem research,research scientist,,135000,0.0,USD,,,united states,texas,san antonio,15.5,15.5,PhD,Woman,White,135000.0,135000.0
161,4/27/2021 11:06:05,29.5,libraries,librarian,,26000,0.0,USD,,,united states,oklahoma,ardmore,3.0,3.0,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White",26000.0,26000.0
162,4/27/2021 11:06:06,29.5,"accounting, banking & finance",senior accountant,,60000,0.0,USD,,,united states,ohio,columbus,6.0,6.0,Master's degree,Woman,White,60000.0,60000.0
169,4/27/2021 11:06:08,39.5,"marketing, advertising & pr",graphic designer,"Digital ads, some video editing",35000,0.0,USD,,,united states,indiana,mishawaka,15.5,15.5,College degree,Woman,White,35000.0,35000.0
181,4/27/2021 11:06:17,29.5,education (higher education),communications specialist,,52000,0.0,USD,,,united states,massachusetts,boston,6.0,6.0,College degree,Woman,White,52000.0,52000.0
184,4/27/2021 11:06:20,29.5,nonprofits,associate,,83200,0.0,USD,,,united states,district of columbia,washington ,9.0,9.0,Master's degree,Woman,White,83200.0,83200.0
199,4/27/2021 11:06:35,39.5,nonprofits,senior director,Senior consultant and team lead at a firm serving nonprofits ,90000,0.0,USD,,,united states,district of columbia,washington ,15.5,15.5,College degree,Woman,White,90000.0,90000.0
204,4/27/2021 11:06:40,29.5,education (higher education),assistant professor,Humanities field,60000,2500.0,USD,,,united states,alabama,birmingham,3.0,3.0,PhD,Non-binary,White,62500.0,62500.0
212,4/27/2021 11:06:50,39.5,law,associate attorney,,125000,0.0,USD,,"I’ve recently started this job so do not know the typical annual bonus amount. Also, I work in a large multinational law firm. Typical entry-level associate attorney salaries vary a lot depending in part on firm size. ",united states,district of columbia,washington ,15.5,3.0,Master's degree,Woman,White,125000.0,125000.0
214,4/27/2021 11:06:51,59.5,law,attorney,,275000,0.0,USD,,"I own my own firm, so my take home varies wildly year to year. I've put an average over a few years.",united states,minnesota,minneapolis,35.5,35.5,Master's degree,Woman,White,275000.0,275000.0
215,4/27/2021 11:06:51,29.5,pet care industry (dog training/walking),operations manager,"Scheduling, managing a small team, day to day client interactions, other admin tasks",48500,0.0,USD,,,united states,massachusetts,boston,6.0,3.0,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",48500.0,48500.0
